ID	Treatment	Date	Calib.Date	Day	Tank	Location	TA	Mass	Titration Salinity	Temperature_F	Temperature	pH (meter)	pH.mv.MT	Salinity	
OA2_23_07_19_T2	7.6	23_07_19	23_07_14	20	T2	490 -20 deg C, shelf 2 (starting from top)	2873.579693	60.199	38.6	77.9	25.5	7.438	-25.02732	40	
OA2_23_07_19_T3	8.1	23_07_19	23_07_14	20	T3	490 -20 deg C, shelf 2 (starting from top)	1647.283287	59.703	39.01	77.8	25.44444444	8.15	-65.711	39	
OA2_23_07_21_T1	7.2	23_07_21	23_07_21	22	T1	490 -20 deg C, shelf 2 (starting from top)	2168.94776	60.268	40.21	77	25	7.17	-9.7138	36	
OA2_23_07_21_T2	7.6	23_07_21	23_07_21	22	T2	490 -20 deg C, shelf 2 (starting from top)	2776.205852	60.482	38.37	77.8	25.44444444	7.437	-24.97018	38	
OA2_23_07_21_T3	8.1	23_07_21	23_07_21	22	T3	490 -20 deg C, shelf 2 (starting from top)	1692.475042	60.153	38.14	77.9	25.5	8.056	-60.33984	37	
OA2_23_07_24_T1	7.2	23_07_24	23_07_21	25	T1	490 -20 deg C, shelf 2 (starting from top)	2703.88934	60.347	39.17	76.8	24.88888889	7.291	-16.62774	38	
OA2_23_07_24_T2	7.6	23_07_24	23_07_21	25	T2	490 -20 deg C, shelf 2 (starting from top)	2488.827332	59.994	41.3	77.5	25.27777778	7.463	-26.45582	39	
OA2_23_07_24_T3	8.1	23_07_24	23_07_21	25	T3	490 -20 deg C, shelf 2 (starting from top)	1713.926188	60.1	39.22	78.1	25.61111111	7.943	-53.88302	40	
OA2_23_07_26_T1	7.2	23_07_26	23_07_21	27	T1	490 -20 deg C, shelf 2 (starting from top)	2681.168445	60.191	38.3	76.9	24.94444444	7.188	-10.74232	37	
OA2_23_07_26_T2	7.6	23_07_26	23_07_21	27	T2	490 -20 deg C, shelf 2 (starting from top)	2339.019525	59.985	39.93	77.5	25.27777778	7.38	-21.7132	37	
OA2_23_07_26_T3	8.1	23_07_26	23_07_21	27	T3	490 -20 deg C, shelf 2 (starting from top)	1578.558892	60.117	40.04	78.3	25.72222222	8.029	-58.79706	37	
OA2_23_07_28_T1	7.2	23_07_28	23_07_28	29	T1	490 -20 deg C, shelf 2 (starting from top)	2535.87236	60.242	39.56	76.6	24.77777778	7.195	-11.1423	40	
OA2_23_07_28_T2	7.6	23_07_28	23_07_28	29	T2	490 -20 deg C, shelf 2 (starting from top)	2453.759661	60.425	40.61	77.4	25.22222222	7.389	-22.22746	37	
OA2_23_07_28_T3	8.1	23_07_28	23_07_28	29	T3	490 -20 deg C, shelf 2 (starting from top)	1561.476563	59.733	37.77	78	25.55555556	8.011	-57.76854	36	
